Date,Dividend
2012-11-20,0.001875
2013-02-26 ,0.001875
2013-05-21,0.001875
2013-08-20 ,0.001875
2013-11-19,0.002125
2014-02-25,0.002125
2014-05-20,0.002125
2014-08-19,0.002125
2014-11-19,0.002125
2015-02-24,0.002125
2015-05-19,0.00245
2015-08-18,0.00245
2015-11-18,0.002875
2016-02-29,0.002875
2016-05-24,0.002875
2016-08-23,0.002875
2016-11-23,0.0035
2017-02-22,0.0035
2017-05-19,0.0035
2017-08-22,0.0035
2017-11-22,0.00375
2018-02-22,0.00375
2018-05-23,0.00375
2018-08-29 ,0.00375
2021-08-31,0.004
2021-12-01,0.004
2022-03-02,0.004
2022-06-08,0.004
2022-09-07,0.004
2022-11-30,0.004
2023-03-07,0.004
2023-06-07,0.004
2023-09-06,0.004
2023-12-05,0.004
2024-03-05,0.004
2024-06-11,0.01
2024-09-12,0.01
2024-12-05,0.01
